episode,total,average,min,max,std,median
0,52217254.19023826,219400.22769007672,110802.15423063484,419707.85835546,55191.664719883636,210448.83016411858
1,53008227.84858323,219951.1528986856,114351.14621940684,448688.1336004434,56552.98835724341,217211.39735565023
2,51184104.00381517,215966.68356040155,127189.86058406168,494612.9755440617,62122.34539345702,205599.99010780093
3,51525457.08641413,218328.2079932802,124981.2710718029,447672.24809517147,51236.425472499686,208112.96666272145
4,55237463.63144661,227314.66514998605,117272.21363075497,510142.0497773192,60335.4471028787,220288.8095544834
5,58063640.69547828,234127.5834495092,119535.96957372906,510353.4865112124,55593.359525925116,224661.2906894827
6,54040026.74019558,223305.8956206429,112408.92502566408,441055.1010273109,56136.47654233454,215759.06368064543
7,57379189.78412041,233248.73895983907,125340.38583935724,485376.8534819244,58836.55399164336,220879.83390501054
8,56603202.03762882,230094.31722613343,127481.82699959556,587294.4127729349,59123.15952698704,216219.62564885634
9,53662164.69087863,223592.35287866095,118082.48348837427,390513.4063289539,49982.856689834385,215206.01972119196
10,56502694.20670858,229685.74880775844,127730.8341541693,461590.8383473218,58787.04306886426,219650.94833495643
11,57265325.2734004,231843.42215951582,135526.3790283941,497660.64727907086,47207.162993883845,220984.74232174896
12,59372967.93030258,237491.87172121034,126614.85877745893,526494.9459329356,57072.689569375914,226271.4471079621
13,57042745.16521991,231881.07790739802,146487.5786158763,398856.55655266193,41251.05004465263,226610.08756613146
14,50398993.32085588,213555.05644430456,113588.20438697796,486281.53652738855,58253.242395514826,203338.7486161286
15,45891645.079912215,200400.19685551187,115514.6972148398,389132.07724581135,47728.915444789745,199037.38210500023
16,55200737.32696979,227163.5280945259,124649.12663945464,391687.5039465323,46804.48028628722,219829.56270283
17,55164835.84826272,226085.39282074885,118695.015101048,432406.5678847297,52914.28629071385,216297.82390180643
18,53048207.071717486,221959.02540467566,117904.08365326562,475911.1382724765,56575.03404079985,214375.03021151145
19,54159083.84023501,223797.86710840912,119158.8960285891,427702.4795285436,47983.746438188944,217966.05825674284
20,57561346.54959739,232102.20382902175,127080.85191404723,447263.4769880636,45403.32065366113,222400.20020214486
21,53457288.91045915,221814.47680688446,117118.79784351509,541977.5171801912,57012.21340353168,215086.05537410863
22,47618124.49044596,203496.2585061793,114518.68189002824,470278.8027290525,55044.607493776195,198837.2711489657
23,56759100.62321576,230728.0513138852,167412.1862599338,455908.2734055245,46665.86178842486,219480.67406961124
24,56817047.20969229,230028.53121332912,128524.83828051884,403915.6588285894,45921.68258120798,226830.3814401016
25,58690007.87040821,234760.03148163282,122462.95880863852,529331.5330419389,50289.3193733095,229475.91552142304
26,37511371.83749523,173663.75850692237,117720.13156832708,362048.6699735852,37124.817292279535,166363.8789261931
27,56459745.074737206,229511.15884039516,132421.08118665792,443342.04887315305,49783.351655069746,221634.3521312488
28,46160133.966368176,201572.63740772128,121746.08187350383,439405.9010589509,50360.82272445655,200583.4400538761
29,58555675.01839106,235163.35348751428,122290.22826631655,508148.274005012,55334.69862346892,223924.91487979956
30,58577720.43864544,234310.88175458176,120681.28780087494,431616.06183080777,47182.60359651681,228746.56287811624
31,54082246.3991556,223480.35702130414,114791.32837561672,428700.1371417371,44148.088342793555,219901.527262032
32,55685896.5161045,227289.3735351204,127138.85596891843,447691.8426335347,51988.73106606867,220689.54471252012
33,55330897.21738164,226765.97220238377,113437.1786591584,447390.3538155114,52596.67895700554,219115.8980821539
34,51738045.92902919,217386.747600963,112599.9259669114,438731.2982121923,52046.67134670327,211959.01519370486
35,54435108.20128319,224938.46364166605,113874.46907713763,445613.4102074021,59490.6427402661,218235.29538248642
36,46474423.272827625,202062.70988185925,108469.83613641304,419652.6622303763,58479.04480123979,200812.74464780727
37,55962324.08602607,228417.64933071868,119959.760471883,438502.12366984255,51739.524351711305,220887.4512086797
38,59692618.310065515,236875.46948438697,141668.86036267053,505186.46125254285,53736.19483511401,222356.6657058886
39,49322571.48194871,209883.2829019094,114538.94829351144,479565.25136568246,55873.617495944614,203520.4710947182
40,48924637.14206743,209976.9834423495,112820.55717840952,536719.2067819252,59481.38147049055,204356.3443007137
41,48881484.30260218,208895.23206240247,113141.35203316442,468814.59362175845,63768.954501772074,201282.29760959715
42,56828457.01121103,230074.72474174507,128259.03997208098,471065.1528192687,51109.35105464596,223828.8328024203
43,52525633.599389814,218856.80666412422,107565.22433500312,448706.4530462487,51719.05221287231,213983.0844371742
44,56786412.75526213,230839.07624090297,116443.45002159703,416949.3246311395,47914.85150743391,222861.46163745524
45,50221590.942988776,211905.44701683027,113523.88458300925,415510.4954814448,54001.8230810289,207520.1590126076
46,51112316.41309126,215663.78233371838,116642.1383837986,421258.3083751491,54467.00965720378,207738.77520928343
47,54105107.68629728,223574.82514998878,114512.02056880956,469947.992292674,54164.60568030273,217067.2748298453
48,39059968.960520685,178356.02265077937,118818.67282795427,423241.4923942038,46240.953675210265,170971.26911194556
49,55803913.59389576,227771.0758934521,126030.4729000592,426669.3663750744,51241.137835338464,218797.001374581
50,58772443.31316466,235089.77325265863,171654.23221970836,423063.0384665276,44682.69674041221,226537.33182542835
51,55789493.810252145,227712.21963368222,120064.32099842832,440270.1146044114,48503.65041520473,216833.23390588464
52,54570312.33822489,224569.18657705715,119854.13231514752,411620.1487522055,49830.72285405402,220330.26409098305
53,56959997.5389282,230607.2774855393,121497.67289127146,430231.4948505759,46200.75404230027,222159.2020140095
54,51986529.524181105,217516.85993381214,119647.62850786578,429639.1849966288,52404.29473415007,209428.6268401087
55,46580208.95046195,202522.64761070412,115636.83049713395,422860.7868258008,55729.08812831535,193607.64373254927
56,52140052.70165661,218159.21632492307,123247.15910250793,452399.97950358887,59682.63657896761,209940.07048971893
57,59478514.72484245,236966.19412287828,123282.31250700624,544166.9396683895,49534.65038475234,230134.7187998876
58,48963940.898131184,209247.61067577428,120822.13450714336,411318.25752665737,54702.9750890538,207303.34577708773
59,55841583.686146334,227924.83137202586,123396.73058556252,450320.2605984095,47822.862392432806,216381.7021715864
60,58888018.80750601,234613.6207470359,147766.0760838961,540808.1655992655,47181.47757372257,229230.2288364898
61,43332772.481212445,192590.09991649975,115871.4483322163,493898.8624711762,55514.69935013612,178980.89196494268
62,57507455.070272155,231884.89947690384,137113.38198930767,464509.5099550472,47214.5325706343,222946.75870481879
63,48415544.96094074,208687.69379715837,120082.29548381364,499044.746250874,53589.20390826945,204462.28648934796
64,42178703.348980404,189142.16748421706,114798.21484552104,504866.715933974,56804.09991877778,181616.024586071
65,59187020.192885965,236748.08077154387,127249.44080646247,520369.615194345,52653.99451192891,222718.6886179421
66,45469385.32515535,198556.2677954382,119620.15119274824,460228.0265805589,54342.09580899894,192813.74393518752
67,42949422.744113475,191738.49439336374,116139.70883039078,392604.4729718842,50710.49084427215,184410.16212086496
68,60144879.795743465,238670.15791961693,131584.60240085935,450565.9024737854,47154.539092448336,228832.10840748888
69,57637769.893804416,233351.29511661708,127281.66129230084,446220.2798312111,47781.250174911955,224143.85377004117
70,58743152.304513246,235916.27431531425,125522.81524773414,481970.540807975,49030.093684693165,226102.688737486
71,56671134.32296376,230370.46472749495,118011.24841051028,549815.9347411898,48738.11516756794,221862.47346835557
72,51873664.99571079,217956.5756122302,111364.09000217891,474616.1223576276,57191.54693591661,208070.77735705354
73,45107616.15264671,196120.07022889875,118938.47220378953,392178.1481986506,52958.094724035815,186334.82083680254
74,46437423.154330894,202783.5072241524,115653.41872707765,498052.0359952039,59907.84718574559,192531.40508979288
75,53696002.28830382,222804.98874814864,134478.57697187818,449906.6228975575,51202.828123463376,212970.23975018252
76,46153680.36248608,201544.45573138027,113762.63542455168,478434.8497598562,54707.84454126241,194927.4367368824
77,53683605.07986685,220920.18551385534,117755.81850899736,452626.1404787052,53701.7408511378,214406.22132370883
78,57723231.46541175,232754.9655863377,123431.31301757431,456016.3330741866,46081.48222456987,224226.08740995327
79,53553835.52215436,222215.08515416746,116717.27959636,402343.53937499353,43366.58563608841,216167.4741126676
80,56035307.76631159,227785.8039280959,124622.09502374489,458374.9009255629,53435.96195568731,222881.61160956722
81,53190367.00433477,221626.52918472822,131831.59998563104,546245.5844296727,47970.392672054804,214668.5978789025
82,59702321.00196059,236913.97223000234,176823.7408709643,394830.0968826698,42125.399629840445,229105.5621550402
83,57291403.178866886,231949.00072415743,144766.49216295374,451763.9831705955,43597.28436602686,225034.7504465119
84,52610936.49780811,219212.2354075338,115339.12463068213,503349.116139363,56276.99569381491,212143.54562530582
