episode,total,average,min,max,std,median
0,66527140.44433594,279525.80018628546,-38659.53125,808541.1875,151058.29156409568,281959.1875
1,60802563.400390625,252292.79419249223,-65213.078125,672006.75,152765.51354228068,288272.0
2,50397253.638671875,212646.63982561973,-48256.59765625,989225.9375,178776.56441891828,254781.203125
3,62444437.37988281,264595.07364357123,-83941.640625,696466.5625,158865.28142167226,283569.390625
4,64331058.982910156,264736.86824242864,-46112.17578125,837809.75,165221.67985603644,283430.8125
5,75855273.83203125,305868.0396452873,-50682.1796875,961096.0625,136372.8773947932,297433.71875
6,68239217.37402344,281980.23708274146,-70795.1328125,811178.9375,155161.1566018594,291449.21875
7,77433685.00927734,314771.07727348513,-36326.0,938026.0625,145935.33348945683,307209.953125
8,70128397.27734375,285074.78568025917,-53755.25390625,686400.375,144643.74348966393,294138.171875
9,63521647.40527344,264673.530855306,-42894.2421875,775334.9375,145700.1527812345,279716.46875
10,74014957.18652344,300873.8097013148,-53818.39453125,865482.8125,149451.26661902742,295631.25
11,77636437.02441406,314317.5588032958,-103831.125,889605.0625,133523.29708232387,300142.09375
12,78506723.47265625,314026.893890625,-45597.76171875,805707.1875,126456.19290676573,305158.609375
13,77069676.29296875,313291.36704458843,-34314.265625,730252.1875,112324.65074635713,309517.96875
14,56811678.11230469,240727.4496284097,-38053.01953125,923934.9375,177700.62660449074,262741.1953125
15,44063734.70361328,192418.0554742938,-95708.84375,730135.375,165387.8877425384,242312.984375
16,76277631.21826172,313899.7169475791,-30796.837890625,672000.3125,126179.25200225497,309222.1875
17,70731164.0288086,289881.81979019917,-51837.75,832382.625,145840.016958215,298609.84375
18,64461963.634765625,269715.32901575573,-39960.234375,761843.0625,158547.1773970361,291953.03125
19,68898044.796875,284702.6644498967,-34164.55859375,697442.4375,141078.49497241378,301881.953125
20,83003777.57226562,334692.65150107106,-32968.31640625,728148.875,104503.17520431499,317420.96875
21,57796459.75390625,239819.33507844916,-51301.23828125,1097504.5,180567.58915552686,279401.78125
22,40755892.205078125,174170.47950888088,-86606.390625,795627.0,178344.59020713976,211748.53125
23,77973355.16210938,316964.85838255845,-64960.14453125,779265.75,121711.6073158974,311246.578125
24,78737452.12353516,318775.10981188325,-31818.73046875,740995.4375,121997.7048806078,315020.59375
25,79530941.71875,318123.766875,-40900.734375,772573.4375,117907.83008220966,309794.3125
26,16750405.693359375,77548.1745062934,-54989.8984375,642636.375,131631.98640927556,0.0
27,74280200.92480469,301952.0362796938,-45314.1328125,681879.8125,143354.9443840051,302931.8125
28,44096045.53857422,192559.1508234682,-45307.73828125,878811.8125,175678.70990884007,232559.421875
29,76140807.34960938,305786.3748980296,-58229.9921875,862332.5,140243.11306881224,306819.875
30,79411505.88964844,317646.02355859376,-43536.70703125,778473.625,119269.18894345679,309918.765625
31,71770858.33886719,296573.7947887074,-45093.140625,699603.0,127572.35549916983,293833.875
32,69524812.29296875,283774.74405293365,-35084.48828125,786265.1875,139158.1250345526,302301.65625
33,70900518.23046875,290575.894387167,-33581.265625,841741.5,159574.2958085428,298859.34375
34,63743823.6484375,267831.19180015754,-57246.70703125,598484.0,146692.18826040506,290544.25
35,64308272.87939453,265736.6647908865,-45698.57421875,894546.75,163431.19528465485,289067.484375
36,43361632.407714844,188528.83655528192,-45186.4375,750579.625,178512.35145271043,220326.140625
37,72084526.61132812,294222.55759725766,-57904.0859375,776671.5625,157546.91782256108,298132.4375
38,81633970.85058594,323944.3287721664,-39669.53515625,792588.3125,135188.9967858166,322815.765625
39,57400564.10546875,244257.71959773937,-42289.11328125,738741.0,172281.4513659403,286992.90625
40,51181291.04003906,219662.19330488867,-67313.6875,764824.875,162412.77662691078,251367.09375
41,51682151.14355469,220863.89377587472,-54519.5859375,750948.4375,190340.43277967928,253600.9609375
42,76983725.87890625,311675.0035583249,-50499.2109375,782205.625,135032.92053988265,308857.1875
