episode,total,average,min,max,std,median
0,10514347868.896893,11044483.055563962,7664566.09881643,15459669.25765332,1364957.1203538643,11215420.822065152
1,10543116627.211264,10936842.974285543,7928262.785872448,15243104.897081548,1394432.342435638,11115534.291953806
2,10270702519.99611,10834074.388181552,7860351.944616241,17434664.54985022,1352814.1224918503,10727033.276708277
3,10525745025.68093,11150153.62889929,8067352.759689546,16813126.180001117,1270360.3274513036,11160854.991597928
4,10830624048.346125,11142617.333689429,8143423.022958546,16428070.978416068,1326923.5827665844,11274595.406055793
5,11285725715.38672,11376739.63244629,8138695.297204382,15215107.237084333,1227229.9259868711,11427974.025621764
6,10708884021.022415,11062896.715932246,7583418.805580944,15349525.973220116,1317131.6095519967,11201140.99298409
7,11177912855.437288,11359667.536013504,8508477.765876964,15819977.482764237,1192915.7279524386,11375654.172095865
8,11041908457.45332,11221451.68440378,7803778.155591911,14981069.215423798,1203977.6515681897,11303668.017853148
9,10774644673.231943,11223588.201283274,7985588.989964562,16562661.605044976,1316036.806881018,11354014.497894172
10,10994504043.608147,11173276.46708145,8087122.002696935,15283352.778781522,1223074.4933570793,11288140.524185045
11,11266769250.570808,11403612.601792317,8619372.039649876,15579009.195412884,1072886.4585647678,11385108.880863614
12,11415308457.419544,11415308.457419544,8519646.986695673,15435450.766767386,1210665.164175407,11379803.689269772
13,11295551603.576614,11479219.109325828,8883060.82141079,15459159.042805774,1125634.5014151174,11371410.151649196
14,10217385153.439663,10823501.22186405,7766838.5214106,15304487.224577151,1325060.0806580272,10792759.029822893
15,9658426724.709833,10544133.978940865,7892816.927175971,15038636.392613498,1258872.032115269,10291129.652549244
16,11009589871.383757,11326738.550806334,8373658.066606437,15928019.416849753,1157091.4257753568,11351356.226240195
17,10894899899.91608,11162807.274504181,7958001.854715752,14732437.221347304,1211419.0229885334,11268800.200059827
18,10620695031.564896,11109513.631344033,8054415.57191184,17537784.9159573,1382607.9169466242,11180358.714176543
19,10861422568.173763,11220477.85968364,8344442.078438301,16110095.18657453,1239570.1548733904,11322584.775222333
20,11313108424.247807,11404343.169604644,8747139.336937692,15018674.931678466,1040101.574084843,11431507.451701153
21,10632739485.32569,11029812.744113786,7537907.383427461,16219169.768896198,1341541.0631428221,11131835.85471782
22,9774542628.009737,10442887.423087325,7641766.165847884,16083888.278470954,1345842.4096396936,10208731.244333021
23,11227683188.958977,11410247.143250993,8559294.95439815,16054581.595589716,1106666.9502235716,11412771.175762165
24,11201148123.49512,11337194.456978865,7818478.538967163,15330738.777499285,1215725.6305182506,11391710.650946582
25,11378824500.711437,11378824.500711437,7992850.220523764,14971792.960658057,1147014.4820141094,11406641.49103887
26,8435529219.40597,9763344.003942095,7496724.756392386,14544783.80222222,877300.487988567,9651505.710267793
27,11088679475.52826,11268983.206837662,8166709.974365498,16465329.669220587,1247961.1061196898,11274778.29645565
28,9706112198.330019,10596192.35625548,7819913.479427766,15477037.287667165,1281108.0858002058,10344670.776611164
29,11317305471.242233,11362756.497231157,7882667.591912744,17875298.745930016,1145840.3948768761,11363551.203055803
30,11383762356.233484,11383762.356233485,8009703.394563554,15930195.792046836,1177762.3470344434,11398440.014440136
31,10891244150.098389,11251285.27902726,7641553.060848334,16147450.406778386,1238251.8051691682,11311217.77288805
32,10984220596.70944,11208388.363989225,7631899.6221155,15046660.555559317,1277089.8234114563,11305802.649835858
33,10919290386.067753,11187797.526708763,7001247.47705261,16191569.174574226,1224879.832816969,11283689.967839671
34,10487596208.676285,11016382.572138954,7727073.295635348,15841017.987187132,1290829.6892965725,11119682.496624647
35,10740879707.2359,11095950.11078089,7754070.805179991,14859094.161027648,1319891.8353817838,11253910.016977513
36,9593217261.033606,10427410.066340875,7524712.351645904,16070315.256758818,1425550.2117301987,10174371.280647963
37,11016089005.862928,11240907.148839723,7860543.182238439,15754762.894057766,1241025.0345636536,11291561.952090165
38,11432229163.85043,11341497.186359553,7777745.680225096,15302604.69224884,1141834.9454612657,11383834.162390426
39,10041996737.412773,10682975.252566779,7697763.255565354,14413458.673623784,1294891.8467802245,10520081.99013646
40,9992948569.335917,10722047.821175877,7173978.140978791,15502585.690757817,1365029.044923339,10537806.010641113
41,9839387362.433014,10512165.985505357,7512320.782881792,15352926.874591935,1343785.414904505,10334339.847816702
42,11127863519.982838,11263019.757067649,8189722.812639141,15262474.895563347,1172857.9459508823,11311383.740125466
43,10569298378.503157,11009685.810940789,7692543.802315351,16259228.718877831,1328302.5624343576,11187089.010652004
44,11182155309.075396,11363978.972637597,8059366.217590976,15935063.838603573,1191102.910677664,11348505.81695979
45,10153502918.269352,10710446.116317881,7683734.753399118,15422901.852842892,1329660.114382343,10556444.277910704
46,10329607717.644814,10896210.67262111,7809739.087538781,15434718.377609745,1378805.9221535926,11100403.135013677
47,10765273605.457947,11121150.418861516,7413207.830612864,16226783.449156435,1279424.3180624861,11230133.252267621
48,8587592400.362529,9803187.671646722,7661926.813205351,15675949.991111891,874657.0474229456,9713177.62730088
49,11005690540.62261,11230296.470023071,8089899.55755548,14872789.578820938,1172810.2583904366,11244374.835074455
50,11466183677.040651,11466183.677040651,9525551.227413315,15379283.519799286,1033329.1973528678,11395961.988362148
51,11012360252.691994,11237102.2986653,7434806.096742706,16637906.64889614,1243634.9393555932,11328940.519317448
52,10826644431.00018,11138523.077160679,8202346.793664406,16313093.86385176,1271018.855701212,11235700.554061253
53,11209939076.912083,11346092.183109395,7778081.230514741,15686959.913066763,1188225.7218829389,11359612.661878143
54,10479765545.693972,10962097.851144321,7718431.104788569,14481660.652485987,1253039.1713520705,11090832.527804492
55,9674331484.410809,10515577.700446531,7549044.144398282,14927591.333644733,1386545.5165165085,10277421.86933608
56,10406107495.593403,10885049.681583058,8095905.153676541,15889267.597791051,1283317.5661504392,10870586.745053157
57,11496134987.822569,11450333.65320973,7840360.051516357,15980207.351486214,1185748.3059938445,11412949.340548947
58,10030789998.81217,10716655.981636934,8035050.84058858,15268849.484924,1382416.911395905,10465132.542154044
59,11037751569.428194,11263011.805538973,8529414.479988601,15286758.59160556,1095029.282607683,11347216.343487706
60,11431524979.054766,11385981.054835424,8382723.595757424,16292436.02713833,1130846.1877198524,11305873.473663107
61,9197745836.814974,10219717.596461082,7341719.668376749,14420224.337610995,1284881.292791126,9992459.285783641
62,11284836643.583557,11375843.39070923,8435896.11875582,16270575.350450523,1151273.6525992472,11397909.269205838
63,10004171092.397614,10780356.780600877,7602587.970842372,15194880.385953972,1290876.759287248,10811346.996475378
64,9011460261.40391,10102533.925340706,7876542.614560392,15044510.917982755,1285773.0432279878,9884385.318546388
65,11455778672.102863,11455778.672102863,7852332.797244245,16490649.581184378,1123357.1765595176,11409672.655597012
66,9485391398.954548,10355230.784884878,7815279.276304048,14310235.07270058,1229244.4484954313,10123533.564963447
67,9204267333.765453,10272619.792148944,7971131.051817059,15108199.697135247,1301355.3004846752,10057233.817660592
68,11599950806.188683,11507887.704552265,8546614.05423476,17542543.35554826,1131096.019488565,11411352.01393082
69,11299720284.378897,11436963.850585928,8767639.830837516,15339012.021524716,1076675.070801196,11386168.670751471
70,11424036953.529692,11469916.620009732,8539670.108837403,15199003.964411069,1131374.1852092457,11453252.08195996
71,11199349575.303616,11381452.820430504,7335760.34042767,15977886.692908438,1208196.6487276354,11417173.0931769
72,10423666349.52944,10949229.358749412,8094227.238680281,15532432.870382443,1303277.349906022,11061657.219106134
73,9371950892.847002,10186903.144398915,7873725.188196978,14280155.746299203,1178577.1263710652,9962576.047491718
74,9640951966.15107,10525056.731605971,7868321.059115351,14369774.134421073,1294407.7323543848,10337549.798467405
75,10762489659.738781,11164408.360724876,8229138.120658006,15561770.32569874,1238061.961831984,11263528.061786268
76,9661128231.3694,10547083.222018996,7861405.482898634,16780789.607241035,1333727.1524497,10365241.101826478
77,10657061640.167982,10964055.185358007,8087766.5120181935,14738032.878317725,1263897.9101589492,11113175.713417437
78,11308800588.702463,11400000.593450064,8140327.296243592,16231927.825618936,1152655.721197849,11381934.984524632
79,10841574907.393505,11246446.999370856,7981954.989312478,18987066.134925257,1256345.2338099326,11311308.260295726
80,10971298885.93948,11149693.989775894,8358770.32687764,14820542.240171064,1201717.7820931883,11229753.544767609
81,10740385120.653961,11187901.167347876,8185493.726045239,16042051.912235368,1230476.7199492038,11297810.932552023
82,11576251658.844076,11484376.645678647,9375413.141222114,15598022.13552027,1054005.0889482927,11427604.912632763
83,11289501522.332735,11426620.974020988,8690072.271961492,15351303.035311,1021851.5963540573,11378840.620751463
84,10526184556.955881,10964775.580162376,7637424.400992783,16062913.014265558,1323493.4923797424,11058040.218600921
